time,throttle,brake,steering,speed,ttc
10.126544,0,0.3,2.58885,0.013958,0
10.150769,0,0.3,2.58885,0.007937,0
10.174959,0,0.3,2.58885,0.002165,0
10.199167,0,0.3,2.58885,0.010518,0
10.223394,0,0.3,2.58885,0.016142,0
10.24762,0,0.3,2.58885,0.013515,0
10.271837,0,0.3,2.58885,0.006853,0
10.296079,0,0.3,2.58885,0.002203,0
10.320336,0,0.3,2.58885,0.009727,0
10.344606,0,0.3,2.58885,0.013497,0
10.368892,0,0.3,2.58885,0.010476,0
10.393158,0,0.3,2.58885,0.004862,0
10.41746,0,0.3,2.58885,0.003619,0
10.441741,0,0.3,2.58885,0.009797,0
10.466029,0,0.3,2.58885,0.012261,0
10.49032,0,0.3,2.58885,0.00953,0
10.515703,0,0.3,2.58885,0.003315,0
10.540576,0,0.3,2.58885,0.003773,0
10.565079,0,0.3,2.58885,0.009436,0
10.58961,0,0.3,2.58885,0.010809,0
10.614077,0,0.3,2.58885,0.007842,0
10.638595,0,0.3,2.58885,0.001503,0
10.663053,0,0.3,2.58885,0.004791,0
10.68758,0,0.3,2.58885,0.009132,0
10.712031,0,0.3,2.58885,0.009399,0
10.736543,0,0.3,2.58885,0.006119,0
10.760982,0,0.3,2.58885,0.000467,0
10.785485,0,0.3,2.58885,0.004927,0
10.809911,0,0.3,2.58885,0.008625,0
10.834386,0,0.3,2.58885,0.008183,0
10.858817,0,0.3,2.58885,0.004677,0
10.88332,0,0.3,2.58885,0.000407,0
10.907734,0,0.3,2.58885,0.005197,0
10.932208,0,0.3,2.58885,0.007955,0
10.956617,0,0.3,2.58885,0.007066,0
10.9811,0,0.3,2.58885,0.003623,0
11.005507,0,0.3,2.58885,0.001133,0
11.029968,0,0.3,2.58885,0.005197,0
11.054374,0,0.3,2.58885,0.007165,0
11.078859,0,0.3,2.58885,0.005939,0
11.103259,0,0.3,2.58885,0.002651,0
11.127713,0,0.3,2.58885,0.001847,0
11.152153,0,0.3,2.58885,0.004956,0
11.176606,0,0.3,2.58885,0.006556,0
11.201018,0,0.3,2.58885,0.004909,0
11.225473,0,0.3,2.58885,0.001609,0
11.249906,0,0.3,2.58885,0.00217,0
11.274341,0,0.3,2.58885,0.00485,0
11.298766,0,0.3,2.58885,0.005695,0
11.323213,0,0.3,2.58885,0.004104,0
11.34762,0,0.3,2.58885,0.001064,0
11.372079,0,0.3,2.58885,0.00228,0
11.396507,0,0.3,2.58885,0.004871,0
11.420936,0,0.3,2.58885,0.005016,0
11.445344,0,0.3,2.58885,0.003412,0
11.469806,0,0.3,2.58885,0.000543,0
11.494213,0,0.3,2.58885,0.002426,0
11.5187,0,0.3,2.58885,0.004341,0
11.544265,0,0.3,2.58885,0.00447,0
11.569325,0,0.3,2.58885,0.002876,0
11.593965,0,0.3,2.58885,0.000118,0
11.618625,0,0.3,2.58885,0.0026,0
11.643244,0,0.3,2.58885,0.004172,0
11.66789,0,0.3,2.58885,0.003576,0
11.692479,0,0.3,2.58885,0.001739,0
11.717133,0,0.3,2.58885,0.000789,0
11.741704,0,0.3,2.58885,0.00294,0
11.766309,0,0.3,2.58885,0.003803,0
11.790862,0,0.3,2.58885,0.003103,0
11.815491,0,0.3,2.58885,0.001373,0
11.840012,0,0.3,2.58885,0.00118,0
11.864593,0,0.3,2.58885,0.002596,0
11.88912,0,0.3,2.58885,0.003507,0
11.913705,0,0.3,2.58885,0.002369,0
11.938223,0,0.3,2.58885,0.000935,0
11.962808,0,0.3,2.58885,0.001262,0
11.987347,0,0.3,2.58885,0.002789,0
12.011948,0,0.3,2.58885,0.003103,0
12.036465,0,0.3,2.58885,0.002097,0
12.061032,0,0.3,2.58885,0.000347,0
12.085546,0,0.3,2.58885,0.001558,0
12.110116,0,0.3,2.58885,0.002589,0
12.134621,0,0.3,2.58885,0.002754,0
12.159183,0,0.3,2.58885,0.001704,0
12.183693,0,0.3,2.58885,0.000102,0
12.208262,0,0.3,2.58885,0.001472,0
12.232761,0,0.3,2.58885,0.002501,0
12.257312,0,0.3,2.58885,0.002329,0
12.2818,0,0.3,2.58885,0.001196,0
12.306313,0,0.3,2.58885,0.000216,0
12.330863,0,0.3,2.58885,0.001643,0
12.355389,0,0.3,2.58885,0.002278,0
12.379888,0,0.3,2.58885,0.001847,0
12.404546,0,0.3,2.58885,0.000926,0
12.42901,0,0.3,2.58885,0.000348,0
